object_name,object_type,collection_path,all_collections,parent,triangles,vertices,material,hide_viewport,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,centroid_x,centroid_y,centroid_z
Lymph node,MESH,,,,168,86,Lymph-1,0,-0.001,-0.001,-0.001,0.001,0.001,0.001,0.0,-0.0,0.0
HOW TO ...,MESH,Scene Collection,Scene Collection,,357,369,Text,0,0.0027,-0.0413,-0.0509,0.19,-0.0001,-0.0239,0.0964,-0.0207,-0.0374
Take a picture,MESH,Scene Collection,Scene Collection,,0,0,,0,0.0,0.0,1.1,0.0,0.0,1.1,0.0,0.0,1.1
Tracking camera,CAMERA,Scene Collection,Scene Collection,Take a picture,0,0,,0,0.0,-3.5,1.1,0.0,-3.5,1.1,0.0,-3.5,1.1
(Canal for vertebral artery).j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Skeletal system/Vertebral column/Bones of vertebral column/Cervical vertebrae/Atlas,(Canal for vertebral artery).t,0,2,,0,-0.0359,0.0133,1.5436,-0.0305,0.0133,1.5525,-0.0332,0.0133,1.5481
(Canal for vertebral artery).t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Skeletal system/Vertebral column/Bones of vertebral column/Cervical vertebrae/Atlas,Atlas (C1),0,0,Text,0,-0.0519,0.0133,1.5524,-0.0198,0.0133,1.5543,-0.0359,0.0133,1.5533
(External occipital crest).j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Head | Scene Collection/Bonus collection/Skeletal system/Cranium/Bones of cranium/Occipital bone/Squamous part of occipital bone,(External occipital crest).t,0,2,,0,-0.0,0.0769,1.56,-0.0,0.0782,1.57,-0.0,0.0775,1.565
(External occipital crest).t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Head | Scene Collection/Bonus collection/Skeletal system/Cranium/Bones of cranium/Occipital bone/Squamous part of occipital bone,Occipital bone,0,0,Text,0,-0.0145,0.0782,1.5612,0.0145,0.0782,1.5632,-0.0,0.0782,1.5622
(Internal occipital crest).j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Head | Scene Collection/Bonus collection/Skeletal system/Cranium/Bones of cranium/Occipital bone/Squamous part of occipital bone,(Internal occipital crest).t,0,2,,0,-0.0,0.0568,1.5662,-0.0,0.0646,1.5734,-0.0,0.0607,1.5698
(Internal occipital crest).t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Head | Scene Collection/Bonus collection/Skeletal system/Cranium/Bones of cranium/Occipital bone/Squamous part of occipital bone,Occipital bone,0,0,Text,0,-0.0143,0.0568,1.5746,0.0143,0.0568,1.5766,-0.0,0.0568,1.5756
(Mandibular symphysis).j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Head | Scene Collection/Bonus collection/Skeletal system/Extracranial bones of head/Mandible,(Mandibular symphysis).t,0,2,,0,0.0,-0.1084,1.5048,0.0,-0.0817,1.505,0.0,-0.0951,1.5049
(Mandibular symphysis).t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Head | Scene Collection/Bonus collection/Skeletal system/Extracranial bones of head/Mandible,Mandible,0,0,Text,0,-0.0169,-0.1084,1.5064,0.017,-0.1084,1.5085,0.0001,-0.1084,1.5075
(Middle clinoid process).j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Head | Scene Collection/Bonus collection/Skeletal system/Cranium/Bones of cranium/Sphenoid bone/Body of sphenoid bone/Sella turcica,(Middle clinoid process).t,0,2,,0,-0.0075,-0.0165,1.5954,0.0075,-0.0165,1.6048,0.0,-0.0165,1.6001
(Middle clinoid process).t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Head | Scene Collection/Bonus collection/Skeletal system/Cranium/Bones of cranium/Sphenoid bone/Body of sphenoid bone/Sella turcica,Sphenoid bone,0,0,Text,0,-0.0018,-0.0165,1.605,0.0169,-0.0165,1.6063,0.0075,-0.0165,1.6056
(Posterior obturator tubercle).i,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,(Posterior obturator tubercle).s,0,2,,1,0.0034,0.0089,0.8442,0.0267,0.0089,0.8461,0.0151,0.0089,0.8451
(Posterior obturator tubercle).j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,(Posterior obturator tubercle).t,0,2,,0,-0.0501,0.0089,0.8442,-0.0267,0.0089,0.8461,-0.0384,0.0089,0.8451
(Posterior obturator tubercle).s,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Hip bone.l,0,0,Text,1,0.0097,0.0089,0.8447,0.0439,0.0089,0.8462,0.0268,0.0089,0.8454
(Posterior obturator tubercle).t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Hip bone.r,0,0,Text,0,-0.0438,0.0089,0.8447,-0.0096,0.0089,0.8462,-0.0267,0.0089,0.8454
(Supra-orbital notch).j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Head | Scene Collection/Bonus collection/Skeletal system/Cranium/Bones of cranium/Frontal bone/Orbital part of frontal bone,(Supra-orbital notch).t,0,2,,0,0.0282,-0.0966,1.6147,0.0282,-0.0787,1.6163,0.0282,-0.0877,1.6155
(Supra-orbital notch).t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Head | Scene Collection/Bonus collection/Skeletal system/Cranium/Bones of cranium/Frontal bone/Orbital part of frontal bone,Frontal bone,0,0,Text,0,0.0159,-0.0966,1.6183,0.0405,-0.0966,1.6203,0.0282,-0.0966,1.6193
(Third trochanter).i,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,(Third trochanter).s,0,2,,1,0.1231,0.0317,0.7966,0.1294,0.0504,0.797,0.1262,0.041,0.7968
(Third trochanter).j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,(Third trochanter).t,0,2,,0,-0.1294,0.0317,0.7966,-0.1231,0.0504,0.797,-0.1262,0.041,0.7968
(Third trochanter).s,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Femur.l,0,0,Text,1,0.1139,0.0504,0.7954,0.1449,0.0504,0.7982,0.1294,0.0504,0.7968
(Third trochanter).t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Femur.r,0,0,Text,0,-0.1449,0.0504,0.7954,-0.1139,0.0504,0.7982,-0.1294,0.0504,0.7968
(Trochlear spine).t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Head | Scene Collection/Bonus collection/Skeletal system/Cranium/Bones of cranium/Frontal bone/Orbital part of frontal bone/Orbital surface of frontal bone,Frontal bone,0,0,Text,0,0.0148,-0.0766,1.6062,0.0283,-0.0766,1.6076,0.0215,-0.0766,1.6069
(Vermian fossa).j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Head | Scene Collection/Bonus collection/Skeletal system/Cranium/Bones of cranium/Occipital bone/Squamous part of occipital bone,(Vermian fossa).t,0,2,,0,-0.0,0.0484,1.5608,-0.0,0.0548,1.567,-0.0,0.0516,1.5639
(Vermian fossa).t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Head | Scene Collection/Bonus collection/Skeletal system/Cranium/Bones of cranium/Occipital bone/Squamous part of occipital bone,Occipital bone,0,0,Text,0,-0.0083,0.0484,1.5683,0.0083,0.0484,1.5702,-0.0,0.0484,1.5692
Acetabular fossa.i,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Acetabular fossa.s,0,2,,1,0.1095,0.02,0.866,0.1571,0.02,0.8662,0.1333,0.02,0.8661
Acetabular fossa.j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Acetabular fossa.t,0,2,,0,-0.1095,0.02,0.866,-0.0619,0.02,0.8662,-0.0857,0.02,0.8661
Acetabular fossa.s,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Hip bone.l,0,0,Text,1,0.0955,0.02,0.8665,0.1235,0.02,0.8686,0.1095,0.02,0.8675
Acetabular fossa.t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Hip bone.r,0,0,Text,0,-0.1235,0.02,0.8665,-0.0955,0.02,0.8686,-0.1095,0.02,0.8675
Acetabular margin.i,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Acetabular margin.s,0,2,,1,0.1217,0.0271,0.8756,0.1517,0.0271,0.8756,0.1367,0.0271,0.8756
Acetabular margin.j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Acetabular margin.t,0,2,,0,-0.1217,0.0271,0.8756,-0.0917,0.0271,0.8756,-0.1067,0.0271,0.8756
Acetabular margin.s,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Hip bone.l,0,0,Text,1,0.1063,0.0271,0.876,0.1369,0.0271,0.8781,0.1216,0.0271,0.8771
Acetabular margin.t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Hip bone.r,0,0,Text,0,-0.1371,0.0271,0.876,-0.1065,0.0271,0.8781,-0.1218,0.0271,0.8771
Acetabular notch.i,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Acetabular notch.s,0,2,,1,0.1031,0.0071,0.8604,0.1511,0.0071,0.8607,0.1271,0.0071,0.8605
Acetabular notch.j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Acetabular notch.t,0,2,,0,-0.1031,0.0071,0.8604,-0.055,0.0071,0.8607,-0.0791,0.0071,0.8605
Acetabular notch.s,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Hip bone.l,0,0,Text,1,0.0879,0.0071,0.8609,0.118,0.0071,0.863,0.103,0.0071,0.8619
Acetabular notch.t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Hip bone.r,0,0,Text,0,-0.1182,0.0071,0.8609,-0.0882,0.0071,0.863,-0.1032,0.0071,0.8619
Acetabulum.i,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Acetabulum.s,0,2,,1,0.1131,0.015,0.871,0.1688,0.015,0.871,0.141,0.015,0.871
Acetabulum.j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Acetabulum.t,0,2,,0,-0.1131,0.015,0.871,-0.0575,0.015,0.871,-0.0853,0.015,0.871
Acetabulum.s,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Hip bone.l,0,0,Text,1,0.1035,0.015,0.8715,0.1225,0.015,0.8736,0.113,0.015,0.8726
Acetabulum.t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Hip bone.r,0,0,Text,0,-0.1227,0.015,0.8715,-0.1037,0.015,0.8736,-0.1132,0.015,0.8726
Acromial angle.i,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Acromial angle.s,0,2,,1,0.1907,0.0658,1.4007,0.2114,0.0764,1.4007,0.201,0.0711,1.4007
Acromial angle.j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Acromial angle.t,0,2,,0,-0.1907,0.0658,1.4007,-0.17,0.0764,1.4007,-0.1803,0.0711,1.4007
Acromial angle.s,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Scapula.l,0,0,Text,1,0.1818,0.0764,1.4016,0.1995,0.0764,1.4031,0.1906,0.0764,1.4023
Acromial angle.t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Scapula.r,0,0,Text,0,-0.1995,0.0764,1.4016,-0.1819,0.0764,1.4031,-0.1907,0.0764,1.4023
Acromial end.i,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Skeletal system/Bones of upper limb/Bones of pectoral girdle/Clavicle/Acromial end | Scene Collection/Bonus collection | Scene Collection/Bonus collection/Regions of human body/Main divisions/Left upper limb,Acromial end.s,0,2,,1,0.1429,0.0422,1.3849,0.1429,0.0422,1.4334,0.1429,0.0422,1.4091
Acromial end.j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Skeletal system/Bones of upper limb/Bones of pectoral girdle/Clavicle/Acromial end | Scene Collection/Bonus collection | Scene Collection/Bonus collection/Regions of human body/Main divisions/Right upper limb,Acromial end.t,0,2,,0,-0.1429,0.0422,1.4229,-0.1429,0.0422,1.4334,-0.1429,0.0422,1.4282
Acromial end.s,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Skeletal system/Bones of upper limb/Bones of pectoral girdle/Clavicle/Acromial end | Scene Collection/Bonus collection | Scene Collection/Bonus collection/Regions of human body/Main divisions/Left upper limb,Clavicle.l,0,0,Text,1,0.132,0.0422,1.4349,0.1537,0.0422,1.437,0.1428,0.0422,1.4359
Acromial end.t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Skeletal system/Bones of upper limb/Bones of pectoral girdle/Clavicle/Acromial end | Scene Collection/Bonus collection | Scene Collection/Bonus collection/Regions of human body/Main divisions/Right upper limb,Clavicle.r,0,0,Text,0,-0.1539,0.0422,1.4349,-0.1321,0.0422,1.437,-0.143,0.0422,1.4359
Acromial facet.i,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Skeletal system/Bones of upper limb/Bones of pectoral girdle/Clavicle/Acromial end | Scene Collection/Bonus collection | Scene Collection/Bonus collection/Regions of human body/Main divisions/Left upper limb,Acromial facet.s,0,2,,1,0.1752,0.0359,1.3675,0.1752,0.0359,1.416,0.1752,0.0359,1.3917
Acromial facet.j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Skeletal system/Bones of upper limb/Bones of pectoral girdle/Clavicle/Acromial end | Scene Collection/Bonus collection | Scene Collection/Bonus collection/Regions of human body/Main divisions/Right upper limb,Acromial facet.t,0,2,,0,-0.1752,0.0344,1.4159,-0.1513,0.0359,1.416,-0.1633,0.0351,1.416
Acromial facet.s,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Skeletal system/Bones of upper limb/Bones of pectoral girdle/Clavicle/Acromial end | Scene Collection/Bonus collection | Scene Collection/Bonus collection/Regions of human body/Main divisions/Left upper limb,Clavicle.l,0,0,Text,1,0.1629,0.0359,1.4174,0.1875,0.0359,1.4195,0.1752,0.0359,1.4185
Acromial facet.t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Skeletal system/Bones of upper limb/Bones of pectoral girdle/Clavicle/Acromial end | Scene Collection/Bonus collection | Scene Collection/Bonus collection/Regions of human body/Main divisions/Right upper limb,Clavicle.r,0,0,Text,0,-0.1876,0.0359,1.4174,-0.163,0.0359,1.4195,-0.1753,0.0359,1.4185
Acromion.i,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Acromion.s,0,2,,1,0.1617,0.0473,1.4149,0.1617,0.0473,1.4364,0.1617,0.0473,1.4257
Acromion.j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Acromion.t,0,2,,0,-0.1617,0.0473,1.4149,-0.1617,0.0473,1.4364,-0.1617,0.0473,1.4257
Acromion.s,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Scapula.l,0,0,Text,1,0.156,0.0473,1.4389,0.1673,0.0473,1.4403,0.1616,0.0473,1.4396
Acromion.t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Scapula.r,0,0,Text,0,-0.1674,0.0473,1.4389,-0.1561,0.0473,1.4403,-0.1618,0.0473,1.4396
Adductor tubercle.i,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Adductor tubercle.s,0,2,,1,-0.0025,0.0314,0.4753,0.0365,0.0329,0.4756,0.017,0.0322,0.4754
Adductor tubercle.j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Adductor tubercle.t,0,2,,0,-0.0365,0.0314,0.4753,0.0025,0.0329,0.4756,-0.017,0.0322,0.4754
Adductor tubercle.s,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Femur.l,0,0,Text,1,-0.0184,0.0329,0.4786,0.0133,0.0329,0.4807,-0.0025,0.0329,0.4797
Adductor tubercle.t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Femur.r,0,0,Text,0,-0.0134,0.0329,0.4786,0.0183,0.0329,0.4807,0.0025,0.0329,0.4797
Ala of ilium.i,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Ala of ilium.s,0,2,,1,0.0587,-0.0026,0.958,0.0758,0.0134,0.9636,0.0672,0.0054,0.9608
Ala of ilium.j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Ala of ilium.t,0,2,,0,-0.0929,-0.0026,0.958,-0.0758,0.0134,0.9636,-0.0843,0.0054,0.9608
Ala of ilium.s,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Hip bone.l,0,0,Text,1,0.0666,-0.0026,0.9641,0.0848,-0.0026,0.9662,0.0757,-0.0026,0.9652
Ala of ilium.t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Hip bone.r,0,0,Text,0,-0.085,-0.0026,0.9641,-0.0668,-0.0026,0.9662,-0.0759,-0.0026,0.9652
Ala of sacrum.j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system,Ala of sacrum.t,0,2,,0,0.0405,-0.0004,0.9348,0.0405,0.0228,0.9418,0.0405,0.0112,0.9383
Ala of sacrum.t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system,Sacrum,0,0,Text,0,0.0291,-0.0004,0.9333,0.0517,-0.0004,0.9354,0.0404,-0.0004,0.9343
Anatomical neck of humerus.i,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Anatomical neck of humerus.s,0,2,,1,0.0548,0.0206,1.3674,0.1031,0.0207,1.3705,0.079,0.0206,1.369
Anatomical neck of humerus.j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Anatomical neck of humerus.t,0,2,,0,-0.1514,0.0206,1.3674,-0.1031,0.0207,1.3705,-0.1272,0.0206,1.369
Anatomical neck of humerus.s,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Humerus.l,0,0,Text,1,0.0695,0.0206,1.3725,0.1366,0.0206,1.3755,0.103,0.0206,1.374
Anatomical neck of humerus.t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Humerus.r,0,0,Text,0,-0.1367,0.0206,1.3725,-0.0696,0.0206,1.3755,-0.1032,0.0206,1.374
Angle of rib.i,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Skeletal system/Thoracic skeleton/Bones of thorax/Ribs/Rib/Body of rib | Scene Collection/Bonus collection | Scene Collection/Bonus collection/Regions of human body/Main divisions/Trunk/Thorax | Scene Collection/Bonus collection/Regions of human body/Main divisions/Trunk,Angle of rib.s,0,2,,1,0.0754,0.12,1.261,0.0754,0.12,1.3105,0.0754,0.12,1.2858
Angle of rib.j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Skeletal system/Thoracic skeleton/Bones of thorax/Ribs/Rib/Body of rib | Scene Collection/Bonus collection | Scene Collection/Bonus collection/Regions of human body/Main divisions/Trunk/Thorax | Scene Collection/Bonus collection/Regions of human body/Main divisions/Trunk,Angle of rib.t,0,2,,0,-0.0754,0.0973,1.3105,-0.0736,0.12,1.3106,-0.0745,0.1086,1.3106
Angle of rib.s,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Skeletal system/Thoracic skeleton/Bones of thorax/Ribs/Rib/Body of rib | Scene Collection/Bonus collection | Scene Collection/Bonus collection/Regions of human body/Main divisions/Trunk/Thorax | Scene Collection/Bonus collection/Regions of human body/Main divisions/Trunk,Sixth rib.l,0,0,Text,1,0.0657,0.12,1.311,0.085,0.12,1.3131,0.0753,0.12,1.3121
Angle of rib.t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Skeletal system/Thoracic skeleton/Bones of thorax/Ribs/Rib/Body of rib | Scene Collection/Bonus collection | Scene Collection/Bonus collection/Regions of human body/Main divisions/Trunk/Thorax | Scene Collection/Bonus collection/Regions of human body/Main divisions/Trunk,Sixth rib.r,0,0,Text,0,-0.085,0.12,1.311,-0.0658,0.12,1.3131,-0.0754,0.12,1.3121
Annular epiphysis.j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Trunk | Scene Collection/Bonus collection/Skeletal system/Vertebral column/Bones of vertebral column/Vertebra/Vertebral body,Annular epiphysis.t,0,2,,0,0.0194,-0.0152,1.0634,0.0261,-0.0083,1.0704,0.0228,-0.0117,1.0669
Annular epiphysis.t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Trunk | Scene Collection/Bonus collection/Skeletal system/Vertebral column/Bones of vertebral column/Vertebra/Vertebral body,Vertebra L3,0,0,Text,0,0.0164,-0.0152,1.0708,0.0358,-0.0152,1.0722,0.0261,-0.0152,1.0715
Anterior arch of atlas.j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Skeletal system/Vertebral column/Bones of vertebral column/Cervical vertebrae/Atlas,Anterior arch of atlas.t,0,2,,0,0.0046,0.0018,1.5474,0.0046,0.0018,1.5552,0.0046,0.0018,1.5513
Anterior arch of atlas.t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection/Skeletal system/Vertebral column/Bones of vertebral column/Cervical vertebrae/Atlas,Atlas (C1),0,0,Text,0,-0.0086,0.0018,1.5555,0.0177,0.0018,1.557,0.0046,0.0018,1.5563
Anterior articular facet of dens axis.j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system,Anterior articular facet of dens axis.t,0,2,,0,-0.0,-0.0303,1.5449,-0.0,0.0033,1.5464,-0.0,-0.0135,1.5456
Anterior articular facet of dens axis.t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system,Axis (C2),0,0,Text,0,-0.0305,-0.0303,1.5468,0.0304,-0.0303,1.5489,-0.0001,-0.0303,1.5479
Anterior border of fibula.i,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Anterior border of fibula.s,0,2,,1,0.1084,0.0087,0.3335,0.1084,0.0381,0.3339,0.1084,0.0234,0.3337
Anterior border of fibula.j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Anterior border of fibula.t,0,2,,0,-0.1084,0.0087,0.3335,-0.1084,0.0381,0.3339,-0.1084,0.0234,0.3337
Anterior border of fibula.s,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Fibula.l,0,0,Text,1,0.0875,0.0087,0.3343,0.1293,0.0087,0.3364,0.1084,0.0087,0.3354
Anterior border of fibula.t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Fibula.r,0,0,Text,0,-0.1293,0.0087,0.3343,-0.0875,0.0087,0.3364,-0.1084,0.0087,0.3354
Anterior border of humerus.i,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Anterior border of humerus.s,0,2,,1,0.2086,-0.0059,1.2288,0.2086,0.0246,1.2303,0.2086,0.0094,1.2295
Anterior border of humerus.j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Anterior border of humerus.t,0,2,,0,-0.2086,-0.0059,1.2288,-0.2085,0.0246,1.2303,-0.2085,0.0094,1.2295
Anterior border of humerus.s,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Humerus.l,0,0,Text,1,0.1856,-0.0059,1.2324,0.2314,-0.0059,1.2345,0.2085,-0.0059,1.2335
Anterior border of humerus.t,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Humerus.r,0,0,Text,0,-0.2315,-0.0059,1.2324,-0.1857,-0.0059,1.2345,-0.2086,-0.0059,1.2335
Anterior border of radius.i,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Anterior border of radius.s,0,2,,1,0.2492,-0.0206,1.0353,0.2492,0.0129,1.0356,0.2492,-0.0038,1.0355
Anterior border of radius.j,MESH,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Anterior border of radius.t,0,2,,0,-0.2492,-0.0206,1.0353,-0.2492,0.0134,1.0355,-0.2492,-0.0036,1.0354
Anterior border of radius.s,FONT,Scene Collection/1: Skeletal system,Scene Collection/1: Skeletal system | Scene Collection/Bonus collection,Radius.l,0,0,Text,1,0.2278,-0.0202,1.036,0.2705,-0.0202,1.0381,0.2491,-0.0202,1.037
