object_name,object_type,collection_path,all_collections,parent,triangles,vertices,material,hide_viewport,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,centroid_x,centroid_y,centroid_z
Fasciae of lower limb.j,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb | Scene Collection/Bonus collection/Regions of human body/Main divisions/Right lower limb,Fasciae of lower limb.g,0,2,,0,-0.2523,0.0258,0.4434,-0.12,0.0258,0.4434,-0.1861,0.0258,0.4434
Fasciae of thorax.g,FONT,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Trunk,Fasciae.g,0,0,Text,0,-0.0575,-0.26,1.3441,0.058,-0.26,1.3525,0.0002,-0.26,1.3483
Fasciae of thorax.j,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Trunk,Fasciae of thorax.g,0,2,,0,-0.0002,-0.26,1.337,-0.0002,-0.0894,1.3382,-0.0002,-0.1747,1.3376
Fasciae of upper limb.g,FONT,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Right upper limb,Fasciae.g,0,0,Text,0,-0.4251,0.0307,1.1241,-0.2971,0.0307,1.1325,-0.3611,0.0307,1.1283
Fasciae of upper limb.j,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Right upper limb,Fasciae of upper limb.g,0,2,,0,-0.3615,0.0307,1.1181,-0.2609,0.0307,1.1182,-0.3112,0.0307,1.1182
Fasciae.g,FONT,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Muscular system/Fascia,,0,0,Text,0,0.2896,0.0276,1.0919,0.3981,0.0276,1.1129,0.3439,0.0276,1.1024
Fasciae.j,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system,Fasciae.g,0,2,,0,0.2707,0.0276,1.0847,0.3432,0.0276,1.0847,0.3069,0.0276,1.0847
Fibular tarsal tendon sheaths.g,FONT,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb | Scene Collection/Bonus collection/Regions of human body/Main divisions/Right lower limb,Tendon sheaths of lower limb.g,0,0,Text,0,-0.2982,0.0002,0.1155,-0.151,0.0002,0.1218,-0.2246,0.0002,0.1186
Fibular tarsal tendon sheaths.j,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb | Scene Collection/Bonus collection/Regions of human body/Main divisions/Right lower limb,Fibular tarsal tendon sheaths.g,0,2,,0,-0.2235,0.0002,0.1102,-0.0946,0.0002,0.1104,-0.1591,0.0002,0.1103
Fibularis brevis muscle.l,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb/Lateral compartment of leg | Scene Collection/Bonus collection/Regions of human body/Main divisions/Left lower limb | Scene Collection/Bonus collection/Muscular system/Muscles | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve/Common fibular nerve/Superficial fibular nerve,Lateral compartment of leg.g,3446,1723,Extension hand/foot,0,0.091,0.0108,0.0258,0.1194,0.0655,0.2947,0.1052,0.0381,0.1602
Fibularis brevis muscle.r,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb/Lateral compartment of leg | Scene Collection/Bonus collection/Muscular system/Muscles | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb | Scene Collection/Bonus collection/Regions of human body/Main divisions/Right lower limb | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve/Common fibular nerve/Superficial fibular nerve,Lateral compartment of leg.g,3446,1723,Extension hand/foot,0,-0.1194,0.0108,0.0258,-0.091,0.0655,0.2947,-0.1052,0.0381,0.1602
Fibularis longus muscle.l,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb/Lateral compartment of leg | Scene Collection/Bonus collection/Regions of human body/Main divisions/Left lower limb | Scene Collection/Bonus collection/Muscular system/Muscles | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve/Common fibular nerve/Superficial fibular nerve | Scene Collection/Bonus collection/Muscular system/Superficial muscles,Lateral compartment of leg.g,5522,2739,External rotation,0,0.0763,-0.0259,0.0289,0.1351,0.0638,0.408,0.1057,0.0189,0.2184
Fibularis longus muscle.r,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb/Lateral compartment of leg | Scene Collection/Bonus collection/Muscular system/Muscles | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb | Scene Collection/Bonus collection/Regions of human body/Main divisions/Right lower limb | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve/Common fibular nerve/Superficial fibular nerve | Scene Collection/Bonus collection/Muscular system/Superficial muscles,Lateral compartment of leg.g,5522,2739,External rotation,0,-0.1351,-0.0259,0.0289,-0.0763,0.0638,0.408,-0.1057,0.0189,0.2184
Fibularis tertius muscle.l,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb/Anterior compartment of leg | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve/Common fibular nerve/Deep fibular nerve | Scene Collection/Bonus collection/Regions of human body/Main divisions/Left lower limb | Scene Collection/Bonus collection/Muscular system/Muscles | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve,Anterior compartment of leg.g,586,294,Extension hand/foot,0,0.0927,-0.0137,0.0324,0.1181,0.0416,0.1553,0.1054,0.0139,0.0939
Fibularis tertius muscle.r,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb/Anterior compartment of leg | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve/Common fibular nerve/Deep fibular nerve | Scene Collection/Bonus collection/Muscular system/Muscles | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb | Scene Collection/Bonus collection/Regions of human body/Main divisions/Right lower limb | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve,Anterior compartment of leg.g,586,294,Extension hand/foot,0,-0.1181,-0.0137,0.0325,-0.0927,0.0416,0.1553,-0.1054,0.0139,0.0939
Flexor carpi radialis.l,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Muscular system/Muscular system of upper limb/Muscles of upper limb/Anterior compartment of forearm | Scene Collection/Bonus collection/Regions of human body/Main divisions/Left upper limb | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Brachial plexus/Median nerve | Scene Collection/Bonus collection/Muscular system/Muscles | Scene Collection/Bonus collection/Muscular system/Muscular system of upper limb/Muscles of upper limb,Superficial part of anterior compartment of forearm.g,1666,835,Flexion hand/foot,0,0.1904,-0.0361,0.8305,0.281,0.0316,1.1163,0.2357,-0.0023,0.9734
